QuestionNumber,Category,MRCPPart,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,WhyA,WhyB,WhyC,WhyD
86,Neurology,1,Which type of stroke is most commonly associated with lacunar infarcts?,Cardioembolic,Large artery atherosclerosis,Small vessel disease (lipohyalinosis),Arterial dissection,C,"Lacunar infarcts are small (<15 mm) deep infarcts caused by occlusion of single penetrating end-arteries, the result of SMALL-VESSEL disease (lipohyalinosis) driven chiefly by hypertension and diabetes. They produce recognisable 'lacunar syndromes' (e.g. pure motor or pure sensory stroke) without cortical signs.","Cardioembolic strokes tend to be larger, often cortical, and follow a source such as AF.","Large-artery atherosclerosis causes territorial cortical infarcts or watershed lesions, not classic lacunes.",,"Arterial dissection causes stroke in younger patients (often with neck pain), not lipohyalinotic lacunes."
87,Neurology,2,"A patient with known epilepsy on carbamazepine develops a fever, facial oedema, widespread erythematous rash with skin detachment affecting 12% of body surface area. What is this reaction?",Drug reaction with eosinophilia and systemic symptoms (DRESS),Stevens-Johnson syndrome,Toxic epidermal necrolysis,Erythema multiforme,B,"Skin detachment of 10–30% of body-surface area places this drug reaction in the SJS/TEN overlap zone; by the standard cut-offs, <10% is Stevens–Johnson syndrome, >30% is toxic epidermal necrolysis. Carbamazepine is a common trigger (HLA-B*1502 confers risk, particularly in some Southeast-Asian populations). The culprit drug is stopped and supportive/burns-type care given.","DRESS features prominent eosinophilia, facial oedema and organ involvement with a morbilliform rash, not sheet-like epidermal detachment.",,TEN is defined by >30% detachment; 12% is below that threshold (SJS/overlap).,"Erythema multiforme has target lesions and minimal detachment, a milder entity than this."
88,Neurology,1,A patient presents with loss of pain and temperature sensation in a cape-like distribution over the shoulders bilaterally with preserved light touch. MRI shows a fluid-filled cavity in the central spinal cord. What is the diagnosis?,Multiple sclerosis,Syringomyelia,Motor neurone disease,Subacute combined degeneration,B,"A CENTRAL cord cavity (syrinx) on MRI with dissociated sensory loss — loss of pain and temperature in a 'cape' distribution with preserved light touch/proprioception — is syringomyelia. The expanding syrinx first interrupts the DECUSSATING spinothalamic fibres crossing centrally, sparing the dorsal columns. It is often associated with a Chiari malformation.","MS causes multifocal demyelination, not a central syrinx with dissociated cape-like sensory loss.",,Motor neurone disease has no sensory loss and no syrinx.,"Subacute combined degeneration (B12 deficiency) affects the DORSAL columns and corticospinal tracts (loss of vibration/proprioception), the opposite dissociation."
89,Neurology,1,"Which condition is characterised by recurrent unilateral headache with ipsilateral autonomic features (lacrimation, conjunctival injection, rhinorrhoea) lasting 15-180 minutes?",Migraine with aura,Cluster headache,Tension-type headache,Trigeminal neuralgia,B,"Recurrent, strictly UNILATERAL excruciating periorbital pain lasting 15–180 minutes with ipsilateral autonomic features (lacrimation, conjunctival injection, nasal congestion/rhinorrhoea, ptosis), occurring in bouts, is cluster headache. Acute attacks respond to high-flow oxygen and subcutaneous sumatriptan; verapamil is used for prevention.","Migraine attacks last 4–72 hours and are usually throbbing with nausea/photophobia, without the prominent cranial autonomic burst of cluster.",,"Tension-type headache is bilateral, pressing and non-autonomic.","Trigeminal neuralgia causes brief (seconds) electric-shock facial pains triggered by touch, not 15–180-minute attacks with autonomic features."
90,Neurology,2,"A 55-year-old man presents with progressive gait ataxia, dysarthria, and nystagmus. MRI shows cerebellar atrophy. He has a history of chronic alcohol excess. Which vitamin deficiency is most likely contributing?",Vitamin B12,Vitamin B1 (thiamine),Vitamin B6,Vitamin E,B,"Chronic alcohol excess causes thiamine (vitamin B1) deficiency, which produces cerebellar degeneration (especially the anterior/superior vermis) manifesting mainly as gait ataxia, together with dysarthria and nystagmus. Parenteral thiamine (Pabrinex) must be given BEFORE glucose to avoid precipitating Wernicke's encephalopathy.","B12 deficiency affects the dorsal columns/corticospinal tracts (subacute combined degeneration), not predominantly the cerebellum.",,"B6 (pyridoxine) deficiency/excess causes a peripheral neuropathy, not cerebellar ataxia.",Vitamin E deficiency can cause a spinocerebellar syndrome but is a rare cause compared with alcohol-related thiamine deficiency.
91,Neurology,1,"A patient with bacterial meningitis develops bilateral adrenal haemorrhage, causing acute adrenal insufficiency and shock. This is known as:",Addisonian crisis,Waterhouse-Friderichsen syndrome,Sheehan syndrome,Cushing syndrome,B,"Bilateral adrenal haemorrhage complicating severe sepsis — classically fulminant meningococcaemia — causing acute adrenal failure with shock, DIC and purpura fulminans, is the Waterhouse–Friderichsen syndrome. Emergency management is IV hydrocortisone plus aggressive antibiotics and supportive care.","An 'Addisonian crisis' names the adrenal insufficiency itself, but the specific syndrome of adrenal haemorrhage in meningococcaemia is Waterhouse–Friderichsen.",,"Sheehan syndrome is post-partum pituitary infarction, not adrenal haemorrhage in sepsis.","Cushing syndrome is cortisol EXCESS, the opposite of acute adrenal failure."
92,Endocrinology,1,"A patient presents with polyuria, polydipsia, and a plasma glucose of 35 mmol/L. Blood ketones are 0.5 mmol/L. Serum osmolality is 360 mOsm/kg. What is the most likely diagnosis?",Diabetic ketoacidosis,Hyperosmolar hyperglycaemic state (HHS),Type 1 diabetes presentation,Diabetes insipidus,B,"The picture — extreme hyperglycaemia (35 mmol/L), high serum osmolality (360 mOsm/kg) and only trivial ketones — is hyperosmolar hyperglycaemic state, seen in type 2 diabetes. Endogenous insulin is enough to suppress ketogenesis but not hyperglycaemia, producing profound osmotic diuresis and dehydration. Management prioritises careful IV 0.9% saline rehydration, with cautious insulin and vigilance for thrombosis.","DKA requires significant ketonaemia (>3 mmol/L) and acidosis; ketones here are only 0.5 mmol/L, so it is not DKA.",,"A first presentation of type 1 diabetes would typically show ketoacidosis, not a hyperosmolar non-ketotic picture.",Diabetes insipidus causes dilute polyuria with a NORMAL or high sodium but not marked hyperglycaemia or this osmolality from glucose.
93,Endocrinology,1,Which is the most appropriate initial screening test for Cushing syndrome?,Morning serum cortisol,Overnight dexamethasone suppression test (1mg),24-hour urinary cortisol,ACTH level,B,"First-line screening for Cushing's syndrome uses a test of cortisol dynamics rather than a single level. The overnight 1 mg dexamethasone suppression test (dexamethasone at 23:00, cortisol at 09:00) should suppress cortisol below ~50 nmol/L; failure to suppress is a positive screen. Late-night salivary cortisol and 24-hour urinary free cortisol are acceptable alternatives; two abnormal tests are usually required.","A single morning cortisol is unreliable because of pulsatile secretion and stress, so it is not a screening test.",,24-hour urinary free cortisol is a valid alternative screen but is more cumbersome; the overnight DST is the classic first-line choice.,"ACTH is used to determine the CAUSE (ACTH-dependent vs independent) AFTER Cushing's is confirmed, not to screen for it."
94,Endocrinology,2,"A 45-year-old woman is found to have a serum calcium of 2.85 mmol/L, phosphate 0.7 mmol/L, and PTH 12.5 pmol/L (elevated). She is asymptomatic. What is the most likely diagnosis and initial management?",Primary hyperparathyroidism; parathyroidectomy,Primary hyperparathyroidism; conservative monitoring,Familial hypocalciuric hypercalcaemia; no treatment,Secondary hyperparathyroidism; vitamin D supplementation,B,"High calcium with LOW phosphate and an inappropriately elevated PTH indicates primary hyperparathyroidism. In an asymptomatic patient with only mild hypercalcaemia, conservative monitoring is appropriate provided none of the surgical criteria are met. Parathyroidectomy is indicated for symptoms, calcium markedly raised (typically >0.25 mmol/L above the upper limit), age <50, reduced renal function/eGFR, renal stones or osteoporosis.","Immediate parathyroidectomy is not mandated in a mildly hypercalcaemic, asymptomatic patient who does not meet operative criteria.",,"Familial hypocalciuric hypercalcaemia has a LOW urinary calcium and a benign course; it must be excluded, but the biochemistry here (low phosphate, raised PTH) fits primary hyperparathyroidism.","Secondary hyperparathyroidism occurs with LOW or normal calcium (e.g. vitamin-D deficiency/CKD), not the hypercalcaemia seen here."
95,Endocrinology,1,"A patient presents with weight gain, fatigue, constipation, and dry skin. TSH is 45 mIU/L and free T4 is 4 pmol/L. What is the diagnosis?",Subclinical hypothyroidism,Primary hypothyroidism,Secondary hypothyroidism,Sick euthyroid syndrome,B,"A high TSH with a low free T4 defines primary hypothyroidism — the thyroid gland is failing and the pituitary responds by driving TSH up. In the UK the commonest cause is autoimmune (Hashimoto's) thyroiditis with positive anti-TPO antibodies. Treatment is levothyroxine, titrated to normalise TSH.","Subclinical hypothyroidism has a raised TSH but a NORMAL free T4; here free T4 is low, so it is overt disease.",,"Secondary (central) hypothyroidism shows a LOW or inappropriately normal TSH with low free T4, due to pituitary/hypothalamic failure.","Sick euthyroid syndrome typically shows low T3/T4 with a low or normal TSH during acute illness, not a markedly elevated TSH."
96,Endocrinology,1,"A 28-year-old woman presents with palpitations, weight loss, tremor, and exophthalmos. TSH is suppressed and free T4 is 55 pmol/L. TSH receptor antibodies are positive. What is the diagnosis?",Toxic multinodular goitre,Graves disease,Toxic adenoma,De Quervain thyroiditis,B,"A young woman with thyrotoxic symptoms, a suppressed TSH, high free T4, positive TSH-receptor antibodies and EXOPHTHALMOS has Graves' disease — autoimmune stimulation of the TSH receptor. Thyroid eye disease and pretibial myxoedema are specific to Graves'. Treatment options are antithyroid drugs (carbimazole), radioiodine or thyroidectomy, with orbital disease managed separately.",Toxic multinodular goitre causes hyperthyroidism in older patients with a nodular gland and no TSH-receptor antibodies or eye disease.,,A toxic adenoma is a single autonomous nodule without autoimmune eye signs or TRAb positivity.,"De Quervain's (subacute) thyroiditis is painful, post-viral and self-limiting, with low radioiodine uptake, not TRAb-positive Graves'."
97,Endocrinology,2,A 50-year-old man presents with headaches and visual field defects. MRI shows a pituitary macroadenoma (3cm). Prolactin is 8000 mU/L. What is the initial treatment?,Transsphenoidal surgery,Cabergoline (dopamine agonist),Radiotherapy,Octreotide,B,"Even a large, compressive prolactinoma with visual-field loss is treated FIRST medically with a dopamine agonist (cabergoline preferred over bromocriptine). Prolactinomas are uniquely drug-responsive: dopamine agonists shrink the tumour and normalise prolactin, often relieving mass effect and restoring vision, avoiding surgery in most cases. Very high prolactin (8000 mU/L) confirms a true prolactin-secreting adenoma.","Transsphenoidal surgery is reserved for dopamine-agonist failure/intolerance, apoplexy or CSF leak — not first-line.",,"Radiotherapy is a later option for resistant/aggressive tumours, not initial treatment.","Octreotide targets GH-secreting tumours (acromegaly), not prolactinomas."
98,Endocrinology,1,A patient with type 1 diabetes is found unconscious. Blood glucose is 1.8 mmol/L. IV access cannot be obtained. What is the immediate treatment?,Oral glucose gel,Intramuscular glucagon 1mg,Rectal diazepam,Subcutaneous insulin,B,"For severe hypoglycaemia with impaired consciousness where IV access is not available, intramuscular glucagon 1 mg is the immediate treatment; it mobilises hepatic glycogen to raise blood glucose. Once the patient can swallow safely, long-acting oral carbohydrate is given to prevent recurrence. If IV access is present, IV glucose (e.g. 100 mL of 20%) acts faster.",Oral glucose gel is unsafe in an unconscious patient because of the aspiration risk and inability to swallow.,,"Rectal diazepam treats seizures, not hypoglycaemia.",Subcutaneous insulin would deepen the hypoglycaemia and is dangerous.
99,Endocrinology,1,"Which condition is characterised by a short fourth metacarpal, round face, short stature, and low calcium with high phosphate?",Pseudohypoparathyroidism,Primary hypoparathyroidism,Vitamin D deficiency,DiGeorge syndrome,A,"Pseudohypoparathyroidism (Albright hereditary osteodystrophy) results from end-organ RESISTANCE to PTH due to GNAS1/Gsα defects. The biochemistry is low calcium and high phosphate with a HIGH (not low) PTH — the hormone is produced but cannot act. The phenotype includes short stature, a round face and brachydactyly (a short 4th metacarpal).",,Primary hypoparathyroidism gives low calcium and high phosphate but with a LOW PTH and without the skeletal dysmorphism.,"Vitamin-D deficiency causes low calcium with LOW phosphate and a secondary rise in PTH, not the AHO phenotype.","DiGeorge syndrome causes hypoparathyroidism (low PTH) with cardiac and immune features, not PTH resistance with brachydactyly."
100,Endocrinology,2,"A 30-year-old woman presents with secondary amenorrhoea, galactorrhoea, and bitemporal hemianopia. Prolactin is 1500 mU/L. MRI shows a 2.5cm pituitary mass. The prolactin level seems disproportionately low for the tumour size. What should be considered?",Prolactinoma with incomplete response,Stalk effect from a non-functioning pituitary adenoma,Macroprolactinaemia,Pregnancy,B,"A large pituitary mass with only MODESTLY raised prolactin (1500 mU/L) suggests the 'stalk effect': the mass disrupts the pituitary stalk, cutting off inhibitory dopamine so lactotrophs are mildly disinhibited (prolactin usually <5000 mU/L). This points to a non-functioning adenoma compressing the stalk, which — with visual failure — requires surgery, rather than a true prolactinoma.",A true macroprolactinoma of this size would drive prolactin far higher (often >10 000 mU/L); the mild elevation argues against it.,,"Macroprolactinaemia (biologically inactive big-prolactin) causes a raised assay result WITHOUT mass effect or symptoms, not a compressive tumour with hemianopia.",Pregnancy raises prolactin but would not explain a 2.5 cm sellar mass with bitemporal hemianopia.
101,Endocrinology,1,An Addisonian crisis is characterised by which biochemical findings?,"Hypernatraemia, hypokalaemia, hyperglycaemia","Hyponatraemia, hyperkalaemia, hypoglycaemia","Hypernatraemia, hyperkalaemia, hypoglycaemia","Hyponatraemia, hypokalaemia, hyperglycaemia",B,"An Addisonian (adrenal) crisis reflects deficiency of both cortisol and aldosterone. Loss of aldosterone impairs sodium retention and potassium excretion, giving HYPOnatraemia and HYPERkalaemia; loss of cortisol causes HYPOglycaemia and hypotension. Immediate treatment is IV hydrocortisone 100 mg plus aggressive fluid resuscitation.","Hypernatraemia/hypokalaemia/hyperglycaemia is the opposite pattern (seen with cortisol/aldosterone EXCESS, e.g. Cushing's/Conn's).",,"Hypernatraemia is wrong — aldosterone deficiency causes sodium LOSS, so sodium is low.",Hypokalaemia is wrong — reduced aldosterone causes potassium RETENTION (hyperkalaemia).
102,Endocrinology,1,A patient with type 2 diabetes on metformin presents with lactic acidosis. Which feature of metformin pharmacology explains this risk?,Metformin stimulates hepatic gluconeogenesis,Metformin inhibits mitochondrial complex I and hepatic lactate clearance,Metformin causes insulin resistance,Metformin blocks renal lactate excretion,B,"Metformin predisposes to lactic acidosis because it inhibits mitochondrial complex I and hepatic gluconeogenesis, shifting metabolism toward lactate while also reducing hepatic lactate clearance. The risk is small but rises sharply with renal impairment (drug accumulation), hepatic impairment, sepsis or any tissue-hypoxic state, which is why metformin is withheld in these situations.",Metformin INHIBITS gluconeogenesis; stimulating it would be the opposite of its action.,,Metformin improves (does not cause) insulin sensitivity.,Metformin does not act by blocking renal lactate excretion; the mechanism is increased lactate production and reduced hepatic clearance.
103,Endocrinology,2,A patient with acromegaly has an IGF-1 three times the upper limit of normal. Glucose tolerance test shows GH nadir of 2.5 μg/L (normal suppression <1 μg/L). MRI shows a 15mm pituitary adenoma. What is first-line treatment?,Octreotide (somatostatin analogue),Transsphenoidal surgery,Pegvisomant (GH receptor antagonist),Cabergoline,B,"For a GH-secreting pituitary adenoma causing acromegaly (raised IGF-1, failure of GH to suppress on OGTT), transsphenoidal surgery is the first-line treatment and offers the best chance of cure by removing the tumour. Unlike prolactinomas, medical therapy is not first-line. Somatostatin analogues, GH-receptor antagonists (pegvisomant) and radiotherapy are used when surgery is contraindicated or does not achieve biochemical control.","Octreotide (somatostatin analogue) is used pre-operatively or for residual/inoperable disease, not as first-line definitive therapy.",,Pegvisomant blocks GH action and is reserved for disease not controlled by surgery ± somatostatin analogues.,"Cabergoline has only modest efficacy in acromegaly and is adjunctive, not first-line."
104,Endocrinology,1,Which of the following is a feature of multiple endocrine neoplasia type 1 (MEN1)?,"Medullary thyroid carcinoma, phaeochromocytoma, hyperparathyroidism","Parathyroid adenoma, pituitary adenoma, pancreatic endocrine tumour","Medullary thyroid carcinoma, mucosal neuromas, marfanoid habitus","Phaeochromocytoma, renal cell carcinoma, haemangioblastoma",B,"MEN1 (Wermer syndrome) is the 'three Ps': Parathyroid hyperplasia (~95%, the commonest and usually earliest feature), Pancreatic/duodenal neuroendocrine tumours (gastrinoma being the most frequent) and Pituitary adenomas (often prolactinoma). It is caused by mutations in the MEN1 tumour-suppressor gene (menin).","Medullary thyroid carcinoma with phaeochromocytoma and hyperparathyroidism is MEN2A, caused by RET mutations.",,MTC with mucosal neuromas and a marfanoid habitus is MEN2B.,"Phaeochromocytoma with renal cell carcinoma and haemangioblastoma is von Hippel–Lindau disease, not MEN1."
105,Endocrinology,1,"A patient presents with episodic headaches, sweating, and palpitations with severe hypertension. 24-hour urine catecholamines and metanephrines are markedly elevated. What is the diagnosis?",Essential hypertension,Phaeochromocytoma,Carcinoid syndrome,Thyrotoxicosis,B,"Episodic headaches, sweating and palpitations with paroxysmal severe hypertension, plus markedly raised urinary/plasma metanephrines, indicate a phaeochromocytoma (catecholamine-secreting tumour of the adrenal medulla). Plasma/24-hour metanephrines are the most sensitive test. Before surgery, ALPHA-blockade (e.g. phenoxybenzamine) must be established first, then beta-blockade, to avoid an unopposed-alpha hypertensive crisis.",Essential hypertension is sustained and asymptomatic and would not raise catecholamines/metanephrines.,,"Carcinoid syndrome causes flushing, diarrhoea and wheeze with raised urinary 5-HIAA, not catecholamine excess with paroxysmal hypertension.","Thyrotoxicosis causes palpitations and tremor but with suppressed TSH and normal metanephrines, not paroxysmal hypertensive crises."
106,Endocrinology,2,A patient with type 1 diabetes has persistent albuminuria (ACR 15 mg/mmol) confirmed on two occasions. BP is 135/82 mmHg. What is the most appropriate management?,Start ACE inhibitor regardless of BP,Start calcium channel blocker,Dietary protein restriction only,Repeat in 12 months,A,"Persistent albuminuria in a person with type 1 diabetes signifies diabetic nephropathy, and an ACE inhibitor (or ARB if not tolerated) should be started regardless of blood pressure. These agents reduce intraglomerular pressure and albuminuria and slow progression to end-stage renal disease — a renoprotective effect independent of their BP-lowering action.",,A calcium-channel blocker lowers BP but lacks the specific intraglomerular/anti-proteinuric renoprotection of ACE inhibitors/ARBs.,Protein restriction alone is insufficient and is not the key evidence-based intervention.,Deferring for 12 months would miss the window to slow nephropathy; treatment should start now.
107,Endocrinology,1,Conn syndrome (primary hyperaldosteronism) is characterised by which electrolyte abnormality?,Hyperkalaemia and metabolic acidosis,Hypokalaemia and metabolic alkalosis,Hypernatraemia and hypercalcaemia,Hyponatraemia and hyperkalaemia,B,"Primary hyperaldosteronism (Conn's) causes aldosterone-driven sodium retention (hypertension) with increased renal excretion of potassium and hydrogen ions, producing HYPOKALAEMIA and a METABOLIC ALKALOSIS. Screening uses the aldosterone-to-renin ratio (high aldosterone, suppressed renin). Causes include an adrenal adenoma or bilateral adrenal hyperplasia.","Hyperkalaemia with acidosis is the pattern of aldosterone DEFICIENCY (e.g. Addison's, type 4 RTA), the opposite of Conn's.",,"Hypernatraemia is usually mild/absent (sodium 'escapes'), and hypercalcaemia is unrelated to aldosterone excess.","Hyponatraemia with hyperkalaemia again describes aldosterone deficiency, not excess."
108,Endocrinology,1,A patient undergoing thyroid surgery develops post-operative hypocalcaemia with perioral tingling and Chvostek sign positivity. What is the most likely cause?,Vitamin D deficiency,Inadvertent removal of parathyroid glands,Hungry bone syndrome,Renal failure,B,"Hypocalcaemia soon after thyroid surgery (perioral tingling, a positive Chvostek's sign) is most often due to inadvertent removal or devascularisation of the parathyroid glands, causing transient or permanent hypoparathyroidism. Treatment is calcium supplementation with activated vitamin D (e.g. alfacalcidol), and PTH/calcium are monitored to see if function recovers.","Vitamin-D deficiency causes chronic hypocalcaemia, not acute post-operative hypocalcaemia within hours of thyroidectomy.",,"Hungry-bone syndrome follows PARAthyroidectomy for severe hyperparathyroidism (rapid skeletal calcium uptake), not routine thyroidectomy.",Renal failure can cause hypocalcaemia but is not the mechanism of acute post-thyroidectomy hypocalcaemia.
109,Endocrinology,2,A 60-year-old man with type 2 diabetes has an HbA1c of 72 mmol/mol despite metformin and gliclazide. He has a BMI of 38 and established cardiovascular disease. Which add-on therapy has proven cardiovascular benefit?,Pioglitazone,Sitagliptin (DPP-4 inhibitor),Empagliflozin (SGLT2 inhibitor),Insulin glargine,C,"In type 2 diabetes with established cardiovascular disease and obesity, an SGLT2 inhibitor such as empagliflozin is the add-on with proven cardiovascular (and renal) benefit, reducing cardiovascular death and heart-failure hospitalisation (EMPA-REG, DECLARE) while promoting weight loss. GLP-1 receptor agonists are an alternative with cardiovascular benefit.","Pioglitazone lowers glucose but causes weight gain and fluid retention (heart-failure risk), so it is unsuitable here.","DPP-4 inhibitors (sitagliptin) are weight-neutral and cardiovascular-neutral, without the outcome benefit of SGLT2 inhibitors.",,Insulin glargine controls glucose but adds weight and hypoglycaemia risk without cardiovascular-outcome benefit.
110,Endocrinology,1,Diabetes insipidus is characterised by large volumes of dilute urine. What distinguishes cranial from nephrogenic DI?,Cranial DI responds to desmopressin; nephrogenic does not,Nephrogenic DI responds to desmopressin; cranial does not,Cranial DI has high ADH levels; nephrogenic has low levels,There is no reliable way to distinguish them,A,"Cranial and nephrogenic diabetes insipidus are distinguished by the response to desmopressin (DDAVP). In CRANIAL DI (ADH deficiency), giving exogenous ADH concentrates the urine (osmolality rises). In NEPHROGENIC DI (renal resistance to ADH), the kidney cannot respond, so urine stays dilute. The water-deprivation test followed by DDAVP formalises this distinction.",,This is reversed — nephrogenic DI does NOT respond to desmopressin.,"ADH is deficient in cranial DI (low) and typically normal/high in nephrogenic DI; the statement mislabels the levels and, more importantly, the DDAVP response is the practical discriminator.",They can be reliably distinguished — precisely by the desmopressin response.
111,Endocrinology,1,"A patient with type 2 diabetes develops painful, burning feet that worsen at night. Examination reveals reduced pin-prick sensation in a stocking distribution and absent ankle reflexes. What is the diagnosis?",Diabetic peripheral neuropathy,Peripheral vascular disease,Lumbar radiculopathy,Vitamin B12 deficiency,A,"A symmetrical, length-dependent sensory loss in a 'stocking' distribution with burning pain worse at night and absent ankle jerks is classic diabetic peripheral (sensorimotor) polyneuropathy — the commonest form of diabetic neuropathy. Glycaemic optimisation and foot care are key; painful symptoms are treated with amitriptyline, duloxetine, gabapentin or pregabalin.",,"Peripheral vascular disease causes claudication, cold pulseless feet and rest pain, not a symmetrical burning sensory neuropathy with preserved pulses.","Lumbar radiculopathy gives a dermatomal (nerve-root) pattern, not a symmetrical stocking distribution.",B12 deficiency can cause neuropathy but characteristically affects posterior columns (loss of vibration/proprioception) and would be confirmed on testing; the diabetic pattern here fits diabetic neuropathy.
112,Endocrinology,2,A thyroid nodule is found to be indeterminate (Thy3) on fine needle aspiration cytology. What is the recommended next step?,Repeat FNA in 3 months,Diagnostic hemithyroidectomy,Total thyroidectomy,Radioactive iodine ablation,B,"'Thy3' indeterminate cytology (follicular/atypical) cannot distinguish a benign follicular adenoma from a follicular carcinoma on aspiration, because malignancy is defined by capsular/vascular invasion seen only on histology. The recommended step is a diagnostic hemithyroidectomy (lobectomy) to obtain tissue; if carcinoma is confirmed, completion thyroidectomy may follow depending on risk features.","Repeating FNA rarely resolves a follicular lesion because the limitation is inherent to cytology, not sampling.",,Proceeding straight to total thyroidectomy over-treats the majority who prove benign.,"Radioiodine ablation is used after thyroidectomy for confirmed cancer, not as a diagnostic step."
113,Endocrinology,1,Syndrome of inappropriate ADH secretion (SIADH) is characterised by which combination?,"Hyponatraemia, low serum osmolality, concentrated urine (>100 mOsm/kg), euvolaemia","Hypernatraemia, high serum osmolality, dilute urine","Hyponatraemia, high serum osmolality, dilute urine","Hyponatraemia, low serum osmolality, dilute urine (<100 mOsm/kg)",A,"SIADH is a euvolaemic hyponatraemia: excess ADH causes water retention, giving LOW serum sodium and LOW serum osmolality but INAPPROPRIATELY concentrated urine (osmolality >100 mOsm/kg) with urine sodium >30 mmol/L, in a clinically euvolaemic patient with normal thyroid/adrenal function. Causes include small-cell lung cancer, CNS disease, drugs (SSRIs, carbamazepine) and infections.",,"Hypernatraemia with dilute urine describes diabetes insipidus, not SIADH.",In SIADH serum osmolality is LOW and urine is CONCENTRATED; 'high serum osmolality with dilute urine' is incorrect.,"In SIADH the urine is CONCENTRATED (>100 mOsm/kg); dilute urine (<100) would indicate appropriate ADH suppression, not SIADH."
114,Renal,1,"A patient presents with nephrotic syndrome: proteinuria 8g/day, serum albumin 18g/L, and peripheral oedema. Renal biopsy shows minimal change disease. What is the first-line treatment?",Cyclophosphamide,Prednisolone,Rituximab,ACE inhibitor alone,B,"Minimal change disease is the commonest cause of nephrotic syndrome in children (and a frequent cause in adults) and is highly steroid-responsive, so first-line treatment is oral PREDNISOLONE (≈1 mg/kg/day). Most patients remit, though adults respond more slowly; frequently relapsing, steroid-dependent or steroid-resistant cases move to calcineurin inhibitors or cyclophosphamide.","Cyclophosphamide is reserved for steroid-dependent/resistant or frequently relapsing disease, not first-line.",,"Rituximab is a later option for difficult, relapsing cases, not initial therapy.","An ACE inhibitor reduces proteinuria as adjunct but does not treat the underlying MCD, which needs corticosteroids."
115,Renal,2,"A 55-year-old diabetic man has a serum creatinine of 250 μmol/L, potassium 6.8 mmol/L, and ECG shows peaked T waves and widened QRS. What is the most important immediate treatment?",Oral calcium resonium,IV calcium gluconate 10%,IV insulin and glucose,Salbutamol nebuliser,B,"Severe hyperkalaemia with ECG changes (peaked T waves, broad QRS) demands IMMEDIATE IV CALCIUM GLUCONATE first — it stabilises the cardiac membrane and protects against fatal arrhythmia (although it does not lower potassium). Insulin–dextrose and nebulised salbutamol then shift potassium intracellularly, and a binder/dialysis removes it. Sequence: protect, shift, remove.",Calcium resonium removes potassium too slowly to address the immediate arrhythmia risk and does not protect the heart.,,Insulin/glucose shifts potassium but should follow calcium when there are ECG changes; it does not cardioprotect.,"Salbutamol also shifts potassium but is an adjunct, not the immediate cardioprotective first step."
116,Renal,1,IgA nephropathy (Berger disease) classically presents with:,Nephrotic syndrome with minimal change on biopsy,Visible haematuria concurrent with upper respiratory tract infection,Haematuria 2-3 weeks after streptococcal pharyngitis,Rapidly progressive glomerulonephritis with crescents,B,"IgA nephropathy (Berger's disease) classically causes visible ('synpharyngitic') haematuria occurring AT THE SAME TIME as an upper-respiratory infection, unlike post-streptococcal GN, which follows an infection by weeks. It is the commonest primary glomerulonephritis worldwide, with mesangial IgA deposits on biopsy.","Nephrotic syndrome with minimal change is a different entity; IgA nephropathy typically presents with haematuria, not heavy proteinuria/minimal change.",,"Haematuria 2–3 weeks after streptococcal pharyngitis describes POST-STREPTOCOCCAL GN, not the concurrent haematuria of IgA nephropathy.","Crescentic (rapidly progressive) GN is an aggressive pattern that IgA nephropathy can rarely cause, but it is not its classic presentation."
117,Renal,1,Which condition is the most common cause of end-stage renal disease in the UK?,IgA nephropathy,Diabetic nephropathy,Autosomal dominant polycystic kidney disease,Hypertensive nephrosclerosis,B,"DIABETIC NEPHROPATHY is the single commonest cause of end-stage renal disease in the UK and worldwide. It evolves through hyperfiltration, then microalbuminuria, macroalbuminuria and progressive GFR decline. Tight glycaemic and blood-pressure control plus ACE inhibitors/ARBs (and SGLT2 inhibitors) slow progression.",IgA nephropathy is common but is not the leading cause of ESRD.,,ADPKD is an important inherited cause but accounts for far fewer ESRD cases than diabetes.,Hypertensive nephrosclerosis contributes to ESRD but less than diabetic nephropathy overall.
118,Renal,2,A patient with ANCA-associated vasculitis (GPA) presents with rapidly progressive glomerulonephritis (creatinine doubling over 2 weeks) and pulmonary haemorrhage. What is the initial treatment?,High-dose oral prednisolone alone,"IV methylprednisolone, cyclophosphamide, and plasma exchange",Rituximab monotherapy,Mycophenolate and low-dose prednisolone,B,"Severe ANCA-associated vasculitis with rapidly progressive glomerulonephritis AND pulmonary haemorrhage is organ- and life-threatening and requires aggressive induction: IV methylprednisolone pulses, cyclophosphamide (or rituximab) and PLASMA EXCHANGE, the latter supported for diffuse alveolar haemorrhage/severe renal disease. This combination controls the immune injury and removes pathogenic ANCA.",High-dose oral prednisolone ALONE is inadequate for organ-threatening vasculitis with alveolar haemorrhage.,,Rituximab monotherapy (without pulsed steroids ± plasma exchange) is insufficient for this fulminant presentation.,"Mycophenolate with low-dose steroid is a maintenance-type regimen, not induction for severe disease."
